drug_id,side_effect
CID100000232,Vomiting
CID100000232,Injection site reaction
CID100000232,Rash macular
CID100000244,Dermatitis
CID100000244,Erythema
CID100000247,Mental disorder
CID100000247,Gastrointestinal disorder
CID100000247,Irritability
CID100000247,Agitation
CID100000247,Agitation
CID100000247,Unspecified disorder of skin and subcutaneous tissue
CID100000247,Skin odour abnormal
CID100000271,Delirium
CID100000271,Diarrhoea
CID100000271,Dizziness
CID100000271,Cardiac arrest
CID100000271,Hypersensitivity
CID100000271,Nausea
CID100000271,Nausea
CID100000271,Necrosis
CID100000271,Dizziness
CID100000297,Intestinal obstruction
CID100000298,Agranulocytosis
CID100000298,Confusional state
CID100000298,Hypersensitivity
CID100000298,Leukaemia
CID100000298,Leukopenia
CID100000298,Nausea
CID100000298,Hypoplastic anaemia
CID100000298,Vasomotor collapse
CID100000298,Eye irritation
CID100000298,Respiratory disorder
CID100000303,Gastrooesophageal reflux disease
CID100000303,Nausea
CID100000303,Transaminases increased
CID100000305,Injection site reaction
CID100000311,Confusional state
CID100000311,Feeling abnormal
CID100000311,Hypocalcaemia
CID100000311,Vomiting
CID100000311,Electrocardiogram QRS complex
CID100000312,Diarrhoea
CID100000312,Extravasation
CID100000338,Anorexia
CID100000338,Asthma
CID100000338,Constipation
CID100000338,Diarrhoea
CID100000338,Dysgeusia
CID100000338,Dysgeusia
CID100000338,Ecchymosis
CID100000338,Erythema multiforme
CID100000338,Headache
CID100000338,Weight increased
CID100000338,Burning sensation
CID100000338,Dizziness
CID100000338,Upset stomach
CID100000338,Abdominal discomfort
CID100000338,Skin papilloma
CID100000401,Coma
CID100000401,Paresis
CID100000401,Disorientation
CID100000401,Clonic convulsion
CID100000444,Alopecia
CID100000444,Alopecia
CID100000444,Anaphylactic shock
CID100000444,Angioedema
CID100000444,Anxiety
CID100000444,Anxiety
CID100000444,Arthritis
CID100000444,Asthma
CID100000444,Ataxia
CID100000444,Bipolar disorder
CID100000444,Bipolar I disorder
CID100000444,Concussion
CID100000444,Breast disorder
CID100000444,Bronchospasm
CID100000444,Bruxism
CID100000444,Bruxism
CID100000444,Bursitis
CID100000444,Carpal tunnel syndrome
