drug_id,Percentage,Sideview
CID100002833,0.769231,Diarrhoea
CID100002833,0.0,Disseminated intravascular coagulation
CID100002833,0.0169492,Fatigue
CID100002833,0.0169492,Gout
CID100002833,0.0135135,Headache
CID100002833,0.027027,Mediastinal disorder
CID100002833,0.0,Mediastinal disorder
CID100002833,0.0508475,Nausea
CID100002833,0.0135135,Nervous system disorder
CID100002833,0.0192308,Nervous system disorder
CID100002833,0.0338983,Nervous system disorder
CID100002833,0.0,Azoospermia
CID100002833,0.0,Purpura
CID100002833,0.0,Rhabdomyolysis
CID100002833,0.0,Vomiting
CID100002833,0.0,Muscular weakness
CID100002833,0.0405405,Malnutrition
CID100002881,0.016,Body temperature increased
CID100002895,0.19,Dizziness
CID100002895,0.03,Dizziness
CID100002895,0.02,Dizziness
CID100002895,0.0,Dyspepsia
CID100002895,0.01,Dyspepsia
CID100002895,0.01,Dyspepsia
CID100002895,0.0,Dyspnoea
CID100002895,0.0,Eosinophilia
CID100002895,0.0,Eosinophilia
CID100002895,0.03,Asthenia
CID100002895,0.01,Nausea
CID100002895,0.06,Palpitations
CID100002895,0.0,Neuropathy peripheral
CID100002895,0.0,Purpura
CID100002895,0.0,Cerebrovascular accident
CID100002895,0.32,Dry mouth
CID100002895,0.58,Dry mouth
CID100002895,0.07,Dry mouth
CID100002895,0.0,Extrapyramidal symptoms
CID100002895,0.08,Dry throat
CID100002895,0.0,Parotid gland enlargement
CID100002895,0.0,Gait disturbance
CID100002895,0.0,Breast enlargement
CID100002895,1.0,Somnolence
CID100002907,0.0,Atrial fibrillation
CID100002907,0.0,Neoplasm malignant
CID100002907,0.0,Conjunctivitis
CID100002907,0.0,Constipation
CID100002907,0.0,Deafness
CID100002907,0.0,Disseminated intravascular coagulation
CID100002907,0.0,Toxic epidermal necrolysis
CID100002907,0.0,Body temperature increased
CID100002907,0.0,Gastroenteritis
CID100002907,0.0,Haematuria
CID100002907,0.0,Haemolytic uraemic syndrome
CID100002907,0.0,Venoocclusive liver disease
CID100002907,0.0,Hepatomegaly
CID100002907,0.0,Hypersensitivity
CID100002907,0.0,Hypertension
CID100002907,0.0,Hypoaesthesia
CID100002907,0.0,Inflammation
CID100002907,0.0,Premature labour
CID100002907,0.0,Lymphoma
CID100002907,0.0,Myocardial infarction
CID100002907,0.0,Myocarditis
CID100002907,0.0,Nail disorder
CID100002907,0.0,Nasal congestion
CID100002907,0.0,Neuralgia
CID100002907,0.0,Pericarditis
CID100002907,0.0,Pregnancy
CID100002907,0.0,Pulmonary oedema
CID100002907,0.0,Convulsion
CID100002907,0.0,Septic shock
CID100002907,0.0,Spinal cord disorder
CID100002907,0.0,Erythema multiforme
CID100002907,0.0,Stomatitis
CID100002907,0.0,Swelling
CID100002907,0.0,Tumour lysis syndrome
CID100002907,0.0,Urticaria
CID100002907,0.0,Ventricular fibrillation
CID100002907,0.0,Encephalopathy
CID100002907,0.0,Hepatic failure
CID100002907,0.0,Ventricular arrhythmia
CID100002907,0.0,Ventricular arrhythmia
CID100002907,0.0,Acute leukaemia
CID100002907,0.0,Polyneuropathy
CID100002907,0.0,Interstitial lung disease
CID100002907,0.0,Lacrimation
CID100002907,0.0,Lacrimation increased
CID100002907,0.0,Blood glucose decreased
CID100002907,0.0,Nephropathy toxic
CID100002907,0.0,Hot flush
CID100002907,0.0,Hyperuricaemia
CID100002907,0.0,Hearing impaired
CID100002907,0.0,Radiation recall reaction (dermatologic)
CID100002907,0.0,Parotid gland inflammation
CID100002909,0.0,Alopecia
CID100002909,0.04,Alopecia
CID100002909,0.04,Alopecia
CID100002909,0.01,Anorexia
CID100002909,0.0,Anxiety
CID100002909,0.03,Bronchitis
CID100002909,0.03,Bronchitis
CID100002909,0.0,Neoplasm malignant
CID100002909,0.06,Chest pain
CID100002909,0.0,Coma
CID100002909,0.247,Infection
CID100002909,0.03,Infection
CID100002909,0.0,Constipation
CID100002909,0.01,Depression
CID100002909,0.03,Depression
CID100002909,0.0,Dermatitis
CID100002909,0.0,Dermatitis
CID100002909,0.03,Diarrhoea
CID100002909,0.08,Diarrhoea
CID100002909,0.08,Dizziness
CID100002909,0.02,Dyspnoea
CID100002909,0.01,Dysuria
CID100002909,0.02,Dysuria
CID100002909,0.02,Dysuria
CID100002909,0.0,Ear disorder
CID100002909,0.0,Ear disorder
CID100002909,0.14,Oedema
CID100002909,0.311111,Oedema
CID100002909,0.0,Oedema
CID100002909,0.12,Rash
CID100002909,0.12,Dermatitis
CID100002909,0.0,Dermatitis
CID100002909,0.08,Fatigue
CID100002909,0.0,Flatulence
CID100002909,0.01,Flatulence
CID100002909,0.0,Flushing
CID100002909,0.0,Flushing
CID100002909,0.02,Flushing
CID100002909,0.0,Fracture
CID100002909,0.0,Multiple fractures
CID100002909,0.0,Gastrointestinal disorder
CID100002909,0.0,Gastrointestinal disorder
CID100002909,0.16,Gingival hyperplasia
CID100002909,0.038,Gingival hyperplasia
CID100002909,0.05,Gingival hyperplasia
CID100002909,0.077957,Gingival hyperplasia
CID100002909,0.09,Gingival hyperplasia
CID100002909,0.03,Gingivitis
CID100002909,0.0,Glossitis
CID100002909,0.0,Glossitis
CID100002909,0.0,Gynaecomastia
CID100002909,0.0,Headache
CID100002909,0.02,Headache
CID100002909,0.0994624,Headache
CID100002909,0.09,Headache
CID100002909,0.0,Haematuria
CID100002909,0.01,Hyperkalaemia
CID100002909,0.0,Hypertension
CID100002909,0.18,Hypertension
CID100002909,0.19,Hypertrichosis
CID100002909,0.0645161,Hypertrichosis
CID100002909,0.066,Hypertrichosis
CID100002909,0.01,Hypertrichosis
CID100002909,0.0,Hypertrichosis
CID100002909,0.0,Salivary gland enlargement
CID100002909,0.0,Salivary gland enlargement
CID100002909,0.0,Hypoaesthesia
CID100002909,0.04,Osteoarthritis
CID100002909,0.0,Osteoarthritis
CID100002909,0.0,Arthropathy
CID100002909,0.026,Nephrosis lower nephron
CID100002909,0.0,Progressive multifocal leukoencephalopathy
CID100002909,0.0,Progressive multifocal leukoencephalopathy
CID100002909,0.01,Leukopenia
CID100002909,0.01,Leukorrhea
CID100002909,0.01,Vaginal discharge
CID100002909,0.0,Non-Hodgkin's lymphoma
CID100002909,0.004,Lymphoma
CID100002909,0.0,Lymphoproliferative disorder
CID100002909,0.003,Lymphoproliferative disorder
CID100002909,0.0,Breast pain
CID100002909,0.0,Muscle spasms
CID100002909,0.0,Cramp muscle
CID100002909,0.0,Myopathy
CID100002909,0.0,Myocardial infarction
CID100002909,0.155556,Nausea
CID100002909,0.04,Nausea
CID100002909,0.055,Nausea
CID100002909,0.0806452,Nausea
CID100002909,0.0,Nausea
CID100002909,0.0,Paresis
CID100002909,0.0430108,Paraesthesia
CID100002909,0.0430108,Paraesthesia
CID100002909,0.0,Pneumonia
CID100002909,0.092,Pneumonia
CID100002909,0.0,Urine output increased
CID100002909,0.0,Benign intracranial hypertension
CID100002909,0.0,Vascular purpura
CID100002909,0.0,Purpura
CID100002909,0.01,Rhinitis
CID100002909,0.01,Convulsion
CID100002909,0.048,Septicemia
CID100002909,0.053,Septicemia
CID100002909,0.0,Sinusitis
CID100002909,0.0,Sinusitis
CID100002909,0.03,Sinusitis
CID100002909,0.0,Skin disorder
CID100002909,0.101,Skin infection
CID100002909,0.0,Skin ulcer
CID100002909,0.02,Skin ulcer
CID100002909,0.0,Muscle spasms
CID100002909,0.0,Stomatitis
CID100002909,0.07,Tremor
CID100002909,0.0,Vertigo
CID100002909,0.155556,Vomiting
CID100002909,0.08,Vomiting
CID100002909,0.0806452,Vomiting
CID100002909,0.09,Vomiting
CID100002909,0.001,Weight increased
CID100002909,0.001,Weight decreased
CID100002909,0.0,Encephalopathy
CID100002909,0.0,Hepatic failure
CID100002909,0.0,Agitation
CID100002909,0.001,Agitation
CID100002909,0.0,Cataract
CID100002909,0.03,Migraine
CID100002909,0.04,Hypomagnesaemia
CID100002909,0.0,Tendon disorder
CID100002909,0.0,Breath sounds abnormal
CID100002909,0.0,Microangiopathic haemolytic anaemia
CID100002909,0.0,Increased appetite
CID100002909,0.001,Disorientation
CID100002909,0.111111,Sensation of heat
CID100002909,0.11,Muscle contractions involuntary
CID100002909,0.0,Muscle contractions involuntary
CID100002909,0.07,Hepatotoxicity
CID100002909,0.0,Hepatotoxicity
CID100002909,0.0,Pharyngeal oedema
CID100002909,0.01,Fluid retention
CID100002909,0.0,Atrophy
CID100002909,0.0,Atrophy
CID100002909,0.01,Influenza-like symptoms
CID100002909,0.0,Plaque psoriasis
CID100002909,0.01,Chills
CID100002909,0.03,Rigors
CID100002909,0.04,Rigors
CID100002909,0.0,Chills
CID100002909,0.0,Lymphadenopathy
CID100002909,0.001,Visual impairment
CID100002909,0.054,Nephropathy toxic
CID100002909,0.0,Nephrotoxicity
CID100002909,0.0,Nephropathy toxic
CID100002909,0.01,Acne
CID100002909,0.0,Hyperuricaemia
CID100002909,0.0,Blood uric acid increased
CID100002909,0.0,Blood triglycerides increased
CID100002909,0.03,Insomnia
CID100002909,0.03,Insomnia
CID100002909,0.001,Insomnia
CID100002909,0.0,Polyomavirus-associated nephropathy
CID100002909,0.0,Thrombotic microangiopathy
CID100002909,0.0,Somnolence
CID100002909,0.0,Visual impairment
CID100002914,0.0,Dyspnoea
CID100002914,0.01,Hepatitis
CID100002914,0.001,Libido increased
CID100002914,0.0,Disturbance in sexual arousal
CID100002914,0.01,Jaundice
CID100002914,0.0,Breast pain
CID100002914,0.01,Nausea
CID100002914,0.0,Nausea
CID100002914,0.0,Nodule
CID100002914,0.001,Sleep disturbance
CID100002914,0.01,Sweating
CID100002914,0.001,Tachycardia
CID100002914,0.0,Tachycardia
CID100002914,0.01,Weight increased
CID100002914,0.1,Weight increased
CID100002914,0.0,Weight increased
CID100002914,0.01,Hepatic failure
CID100002914,0.0,Hepatic failure
CID100002914,0.01,Lassitude
CID100002914,0.0,Menstruation irregular
CID100002914,0.001,Galactorrhoea
CID100002914,0.0,Breast tenderness
CID100002914,0.01,Hot flush
CID100002914,0.001,Menopausal symptoms
CID100002949,0.05,Hirsutism
CID100002949,0.02,Nausea
CID100002949,0.03,Hyperhidrosis
CID100002949,0.04,Weight increased
CID100002949,0.04,Weight increased
CID100002951,0.0,Atrioventricular block
CID100002951,0.0,Atrioventricular block
CID100002951,0.0333333,Atrioventricular block
CID100002951,0.0333333,Atrioventricular block
CID100002951,0.0333333,Dizziness
CID100002951,0.1,Nausea
CID100002951,0.0333333,Pain in extremity
CID100002951,0.0333333,Pain in extremity
CID100002951,0.0,Erythema
CID100002951,0.0,Urticaria
CID100002951,0.0,Injection site reaction
CID100002951,0.0322581,Muscular weakness
CID100002951,0.0333333,Muscular weakness
CID100002951,0.0322581,Vision blurred
CID100002951,0.1,Feeling abnormal
CID100002951,0.133333,Dysphonia
CID100002951,0.166667,Somnolence
CID100002951,0.166667,Somnolence
CID100002955,0.13,Application site erythema
CID100002955,0.01,Application site burn
CID100002958,0.23,Abdominal pain
CID100002958,0.0,Alopecia
CID100002958,0.06,Arrhythmia
CID100002958,0.0,Arthralgia
CID100002958,0.06,Arthralgia
CID100002958,0.07,Arthralgia
CID100002958,0.0,Back pain
CID100002958,0.08,Back pain
CID100002958,0.0,Chest pain
CID100002958,0.18,Constipation
CID100002958,0.06,Depression
CID100002958,0.07,Depression
CID100002958,0.29,Diarrhoea
CID100002958,0.04,Diarrhoea
CID100002958,0.06,Diarrhoea
CID100002958,0.09,Dizziness
CID100002958,0.17,Dyspnoea
CID100002958,0.23,Dyspnoea
CID100002958,0.03,Dyspnoea
CID100002958,0.01,Oedema
CID100002958,0.44,Fatigue
CID100002958,0.44,Fatigue
CID100002958,0.06,Fatigue
CID100002958,0.42,Body temperature increased
CID100002958,0.02,Headache
CID100002958,0.02,Headache
CID100002958,0.03,Hypersensitivity
CID100002958,0.03,Nausea
CID100002958,0.15,Neutropenia
CID100002958,0.36,Neutropenia
CID100002958,0.14,Pruritus
CID100002958,0.07,Pruritus
CID100002958,0.0,Rhinitis
CID100002958,0.06,Rhinitis
CID100002958,0.06,Rhinitis
CID100002958,0.01,Sinusitis
CID100002958,0.02,Vomiting
CID100002958,0.27,Malaise
CID100002958,0.4,Sickness
CID100002958,0.09,Feeling abnormal
CID100002958,0.0,Musculoskeletal discomfort
CID100002958,0.07,Musculoskeletal discomfort
CID100002958,0.0,Proctalgia
CID100002958,0.13,Neuropathy peripheral
CID100002958,0.02,Hyperhidrosis
CID100002972,0.0,Atrial fibrillation
CID100002972,0.0,Mental disorder
CID100002972,0.0,Connective tissue disorder
CID100002972,0.0,Epistaxis
CID100002972,0.0,Rash
CID100002972,0.0,Gastrointestinal disorder
CID100002972,0.0,Cardiac disorder
CID100002972,0.0,Haemoglobinuria
CID100002972,0.0,Hepatitis
CID100002972,0.0,Immune system disorder
CID100002972,0.0,Immune system disorder
CID100002972,0.0,Jaundice
CID100002972,0.0,Jaundice
CID100002972,0.0,Papilloedema
CID100002972,0.0,Pneumonia
CID100002972,0.0,Henoch-Schonlein purpura
CID100002972,0.0,Henoch-Schonlein purpura
CID100002972,0.0,Acute respiratory distress syndrome
CID100002972,0.0,Acute respiratory distress syndrome
CID100002972,0.0,Convulsion
CID100002972,0.0,Angiopathy
CID100002972,0.0,Rash pustular
CID100002972,0.0,Oedema peripheral
CID100002972,0.0,Photosensitivity reaction
CID100002972,0.0,Sepsis
CID100002972,0.0,Blood bilirubin increased
CID100002972,0.0,Blood and lymphatic system disorders
CID100002972,0.0,Retinal toxicity
CID100002972,0.0,Cerebral haemorrhage
CID100002973,0.001,Asthma
CID100002973,0.01,Bone disorder
CID100002973,0.001,Oedema
CID100002973,0.01,Body temperature increased
CID100002973,0.1,Pruritus
CID100002973,0.0,Shock
CID100002973,0.0,Tachycardia
CID100002973,0.001,Tinnitus
CID100002973,0.01,Urticaria
CID100002973,0.01,Urticaria
CID100002973,0.001,Injection site reaction
CID100002973,0.1,Injection site reaction
CID100002973,0.1,Injection site reaction
CID100002973,0.1,Scab
CID100002973,0.0,Immobile
CID100002973,0.1,Musculoskeletal discomfort
CID100002973,0.0,Lung infiltration
CID100002973,0.0,Vision blurred
CID100002973,0.0,Rash generalised
CID100002973,0.1,Eschar
CID100002973,0.0,Unspecified visual loss
CID100002978,0.0,Headache
CID100002978,0.0,Hyperhidrosis
CID100002978,0.0,Malaise
CID100003000,0.037037,Application site pruritus
CID100003003,0.134146,Conjunctival haemorrhage
CID100003003,0.134146,Conjunctival haemorrhage
CID100003003,0.147,Conjunctival haemorrhage
CID100003003,0.225309,Conjunctival haemorrhage
CID100003003,0.303,Conjunctival haemorrhage
CID100003003,0.0,Corneal oedema
CID100003003,0.0,Extravasation
CID100003003,0.0123457,Glaucoma
CID100003003,0.126543,Hypertension
CID100003003,0.0185185,Keratitis
CID100003003,0.0462777,Ocular hypertension
CID100003003,0.0,Retinal detachment
CID100003003,0.0154321,Retinal tear
CID100003003,0.0154321,Retinal tear
CID100003003,0.118,Cataract
CID100003003,0.00914634,Vitreous opacities
CID100003003,0.0864198,Visual acuity reduced
CID100003003,0.0200803,Intraocular pressure increased
CID100003003,0.0121951,Sensation of foreign body
CID100003003,0.0152439,Retinal aneurysm
CID100003003,0.0,Device dislocation
CID100003003,0.0,Device dislocation
CID100003003,0.0663984,Conjunctival hyperaemia
CID100003008,0.01,Fatigue
CID100003008,0.01,Gastrointestinal disorder
CID100003009,0.007,Anorexia
CID100003009,0.01,Decreased appetite
CID100003009,0.013,Dizziness
CID100003009,0.02,Dyspepsia
CID100003009,0.025,Dyspepsia
CID100003009,0.01,Folliculitis
CID100003009,0.05,Headache
CID100003009,0.01,Nausea
CID100003009,0.01,Nausea
CID100003009,0.0,Erythema
CID100003009,0.018,Skin irritation
CID100003009,0.018,Skin irritation
CID100003009,0.022,Paraesthesia
CID100003009,0.036,Paraesthesia
CID100003009,0.043,Skin burning sensation
CID100003009,0.213,Acne
CID100003009,0.214,Acne
CID100003009,0.041,Stinging skin
CID100003009,0.079,Stinging skin
CID100003015,0.0,Hepatic function abnormal
CID100003016,0.0,Multiple fractures
CID100003032,0.0158,Abdominal pain
CID100003032,0.02,Abdominal pain
CID100003032,0.0314,Abdominal pain
CID100003032,0.0301205,Abdominal pain
CID100003032,0.0301205,Gastrointestinal pain
CID100003032,0.0336391,Abdominal pain
CID100003032,0.02,Alopecia
CID100003032,0.0,Aplastic anaemia
CID100003032,0.0,Angioedema
CID100003032,0.0,Arthralgia
CID100003032,0.1652,Musculoskeletal discomfort
CID100003032,0.02,Musculoskeletal discomfort
CID100003032,0.007,Arthritis
CID100003032,0.02,Asthenia
CID100003032,0.02,Asthma
CID100003032,0.0,Chest pain
CID100003032,0.0,Colitis
CID100003032,0.0,Colitis ulcerative
CID100003032,0.04,Infection
CID100003032,0.04,Conjunctivitis
CID100003032,0.0,Constipation
CID100003032,0.00301205,Constipation
CID100003032,0.00775194,Contusion
CID100003032,0.0153846,Contusion
CID100003032,0.04,Cough
CID100003032,0.0,Dermatitis
CID100003032,0.0,Dermatitis contact
CID100003032,0.01,Diarrhoea
CID100003032,0.03,Diarrhoea
CID100003032,0.0,Dizziness
CID100003032,0.1,Dizziness
CID100003032,0.02,Dizziness
CID100003032,0.0381,Dysgeusia
CID100003032,0.0381,Dysgeusia
CID100003032,0.0,Dysgeusia
CID100003032,0.0,Dysgeusia
CID100003032,0.0,Dysgeusia
CID100003032,0.0385,Dyspepsia
CID100003032,0.01,Dyspepsia
CID100003032,0.0208562,Ecchymosis
CID100003032,0.00301205,Ecchymosis
CID100003032,0.0,Eczema
CID100003032,0.03,Oedema
CID100003032,0.0,Oedema
CID100003032,0.0,Oedema
CID100003032,0.32,Oedema
CID100003032,0.0274424,Dermatitis
CID100003032,0.0498,Rash
CID100003032,0.0964,Rash
CID100003032,0.01,Flatulence
CID100003032,0.0,Breath odour
CID100003032,0.0,Breath odour
CID100003032,0.08,Headache
CID100003032,0.15,Headache
CID100003032,0.02,Haematuria
CID100003032,0.0,Herpes simplex
CID100003032,0.02,Herpes simplex
CID100003032,0.01,Hypercholesterolaemia
CID100003032,0.02,Hypercholesterolaemia
CID100003032,0.01,Hyperaesthesia
CID100003032,0.0,Hypersensitivity
CID100003032,0.01,Hypersensitivity
CID100003032,0.02,Hypertension
CID100003032,0.03,Hypertension
CID100003032,0.01,Hypertension
CID100003032,0.1,Influenza
CID100003032,0.03,Influenza
CID100003032,0.0404,Influenza
CID100003032,0.0,Irritability
CID100003032,0.02,Arthropathy
CID100003032,0.0471,Arthropathy
CID100003032,0.0769,Arthropathy
CID100003032,0.12,Arthropathy
CID100003032,0.0,Laryngospasm
CID100003032,0.0,Laryngitis
CID100003032,0.0,Lethargy
CID100003032,0.0,Liver disorder
CID100003032,0.0,Meningitis aseptic
CID100003032,0.0,Meningitis aseptic
CID100003032,0.0,Myocardial infarction
CID100003032,0.0153846,Nausea
CID100003032,0.02,Nausea
CID100003032,0.0202,Nausea
CID100003032,0.03,Nausea
CID100003032,0.0362239,Nausea
CID100003032,0.0385,Nausea
CID100003032,0.00903614,Nausea
CID100003032,0.02,Nausea
CID100003032,0.05,Osteoarthritis
CID100003032,0.15,Pain
CID100003032,0.0605,Pain
CID100003032,0.0633,Pain
CID100003032,0.0,Palpitations
CID100003032,0.0769,Paraesthesia
CID100003032,0.0785,Paraesthesia
CID100003032,0.0,Paraesthesia
CID100003032,0.0,Paraesthesia
CID100003032,0.1029,Paraesthesia
CID100003032,0.0538,Pharyngitis
CID100003032,0.0,Pharyngitis
CID100003032,0.0391566,Pharyngitis
CID100003032,0.0,Pneumonia
CID100003032,0.0,Proteinuria
CID100003032,0.0373216,Pruritus
CID100003032,0.45,Pruritus
CID100003032,0.07,Pruritus
CID100003032,0.0183486,Pruritus
CID100003032,0.04,Pruritus
CID100003032,0.0,Purpura
CID100003032,0.02,Rhinitis
CID100003032,0.02,Rhinitis
CID100003032,0.02,Sinusitis
CID100003032,0.03,Sinusitis
CID100003032,0.0,Skin ulcer
CID100003032,0.0,Stevens-Johnson syndrome
CID100003032,0.0,Stomatitis
CID100003032,0.0,Swelling
CID100003032,0.0,Erythema
CID100003032,0.07,Urinary tract infection
CID100003032,0.0,Urticaria
CID100003032,0.0,Vasculitis
CID100003032,0.01,Vertigo
CID100003032,0.03,Vomiting
CID100003032,0.12,Vomiting
CID100003032,0.0,Encephalopathy
CID100003032,0.02,Chills
CID100003032,0.0,Body odor
CID100003032,0.0,Hepatic failure
CID100003032,0.0,Hypokinesia
CID100003032,0.067908,Application site reaction
CID100003032,0.0,Enterocolitis haemorrhagic
CID100003032,0.0,Creatinine increased
CID100003032,0.01,Blood creatinine increased
CID100003032,0.02,Injury
CID100003032,0.0241493,Accidental injury
CID100003032,0.0241493,Injury
CID100003032,0.0,Vesiculobullous rash
CID100003032,0.02,Aspartate aminotransferase increased
CID100003032,0.0,Alanine aminotransferase increased
CID100003032,0.25,Dry skin
CID100003032,0.0153846,Sinus congestion
CID100003032,0.07,Malnutrition
CID100003032,0.01,Musculoskeletal discomfort
CID100003032,0.02,Myalgia
CID100003032,0.03,Myalgia
CID100003032,0.0,Myalgia
CID100003032,0.03,Abdominal pain upper
CID100003032,0.0,Dermatitis bullous
CID100003032,0.04,Skin exfoliation
CID100003032,0.06,Skin exfoliation
CID100003032,0.07,Skin exfoliation
CID100003032,0.0,Rectal haemorrhage
CID100003032,0.0,Hepatitis fulminant
CID100003032,0.02,Induration
CID100003032,0.02,Rash maculo-papular
CID100003032,0.01,Application site irritation
CID100003032,0.0,Skin cancer
CID100003032,0.04,Acne
CID100003032,0.00657174,Application site erythema
CID100003032,0.00766703,Application site pruritus
CID100003032,0.0,Haemorrhoids
CID100003032,0.00342466,Application site paraesthesia
CID100003032,0.00342466,Application site paraesthesia
CID100003032,0.0,Application site vesicles
CID100003032,0.00109529,Application site papules
CID100003032,0.0,Hearing impaired
CID100003040,0.001,Eosinophilia
CID100003040,0.01,Dermatitis
CID100003040,0.001,Haematuria
CID100003040,0.001,Nephropathy
CID100003040,0.0,Pain
CID100003040,0.0,Pain
CID100003040,0.001,Pain
CID100003040,0.001,Phlebitis
CID100003040,0.001,Proteinuria
CID100003040,0.001,Proteinuria
CID100003040,0.01,Pruritus
CID100003040,0.0,Shock
CID100003040,0.0,Ulcer
CID100003040,0.01,Urticaria
CID100003040,0.001,Renal tubular disorder
CID100003040,0.01,Digestion impaired
CID100003042,0.0,Abdominal distension
CID100003042,0.0,Abdominal pain
CID100003042,0.0,Amnesia
CID100003042,0.0,Confusional state
CID100003042,0.0,Dermatitis atopic
CID100003042,0.0,Fatigue
CID100003042,0.0,Asthenia
CID100003042,0.0,Headache
CID100003042,0.0,Nasal congestion
CID100003042,0.02,Nervousness
CID100003042,0.0,Palpitations
CID100003042,0.0,Pseudodementia
CID100003042,0.0,Thrombosis
CID100003042,0.33,Dry mouth
CID100003042,0.0,Dry mouth
CID100003042,0.05,Dry mouth
CID100003042,0.0,Tachyarrhythmia
CID100003042,0.0,Agitation
CID100003042,0.0,Malaise
CID100003042,0.0,Feeling abnormal
CID100003042,0.0,Cycloplegia
CID100003042,0.0,Suppressed lactation
CID100003042,0.0,Transient global amnesia
CID100003042,0.0,Face oedema
CID100003042,0.0,Paraesthesia
CID100003043,0.0,Lactic acidosis
CID100003043,0.0,Body temperature increased
CID100003043,0.0,Anaphylactoid reaction
CID100003043,0.0,Amylase increased
CID100003043,0.13,Abdominal pain
CID100003043,0.07,Abdominal pain
CID100003043,0.0,Gastrointestinal pain
CID100003043,0.15,Diarrhoea
CID100003043,0.07,Rash
CID100003043,0.08,Dermatitis
CID100003043,0.0,Myopathy
CID100003043,0.03,Pancreatitis
CID100003043,0.08,Pruritus
CID100003043,0.0,Retinal disorder
CID100003043,0.2,Neurological symptom
CID100003043,0.0,Hepatotoxicity
CID100003043,0.0,Dry eye
CID100003043,0.0,Anaphylactoid reaction
CID100003043,0.14,Neuropathy peripheral
CID100003059,0.0,Chest pain
CID100003059,0.0,Dizziness
CID100003059,0.0,Fatal outcomes
CID100003062,0.0,Gastrointestinal pain
CID100003062,0.06,Abdominal pain
CID100003062,0.06,Gastrointestinal pain
CID100003062,0.0487805,Dizziness
CID100003062,0.0162602,Dermatitis
CID100003062,0.02,Dermatitis
CID100003062,0.01,Rash
CID100003062,0.01,Rash
CID100003062,0.04,Headache
CID100003062,0.04,Headache
CID100003062,0.00813008,Cardiac arrest
CID100003062,0.00813008,Cardiac arrest
CID100003062,0.01,Cardiac arrest
CID100003062,0.016,Nausea
CID100003062,0.02,Nausea
CID100003062,0.01,Palpitations
CID100003062,0.0162602,Vomiting
CID100003062,0.02,Vomiting
CID100003062,0.00813008,Ventricular extrasystoles
CID100003062,0.01,Ventricular extrasystoles
CID100003063,0.01,Constipation
CID100003063,0.01,Nausea
CID100003063,0.01,Nausea
CID100003063,0.001,Withdrawal syndrome
CID100003063,0.001,Vertigo
CID100003063,0.001,Hepatic enzyme increased
CID100003063,0.01,Somnolence
CID100003066,0.001,Gastrointestinal pain
CID100003066,0.0,Angina pectoris
CID100003066,0.0,Decreased appetite
CID100003066,0.0,Bronchitis
CID100003066,0.001,Conjunctivitis
CID100003066,0.001,Dysphagia
CID100003066,0.02,Diarrhoea
CID100003066,0.02,Dizziness
CID100003066,0.0,Epistaxis
CID100003066,0.001,Dermatitis
CID100003066,0.0,Rash
CID100003066,0.0,Dermatitis
CID100003066,0.01,Asthenia
CID100003066,0.01,Fatigue
CID100003066,0.001,Hypoaesthesia
CID100003066,0.0,Acute coronary syndrome
CID100003066,0.1,Nausea
CID100003066,0.04,Nausea
CID100003066,0.001,Nervousness
CID100003066,0.26,Rhinitis
CID100003066,0.0,Speech disorder
CID100003066,0.001,Tremor
CID100003066,0.001,Upper respiratory tract infection
CID100003066,0.001,Pollakiuria
CID100003066,0.01,Dry mouth
CID100003066,0.0,Eye pain
CID100003066,0.001,Myalgia
CID100003066,0.001,Chills
CID100003066,0.0,Stiffness
CID100003066,0.0,Gait disturbance
CID100003066,0.01,Menopausal symptoms
CID100003066,0.0,Menopausal symptoms
CID100003066,0.001,Insomnia
CID100003066,0.0,Rash papular
CID100003075,0.0,Angioedema
CID100003075,0.01,Decreased appetite
CID100003075,0.012,Arrhythmia
CID100003075,0.006,Asthenia
CID100003075,0.028,Asthenia
CID100003075,0.0359712,Asthenia
CID100003075,0.0408163,Asthenia
CID100003075,0.05,Asthenia
CID100003075,0.0,Asthenia
CID100003075,0.04,Asthenia
CID100003075,0.0,Atrioventricular block
CID100003075,0.015,Atrioventricular block
CID100003075,0.0204082,Infection
CID100003075,0.0,Infection
CID100003075,0.0,Infection
CID100003075,0.0,Conjunctivitis
CID100003075,0.0363036,Constipation
CID100003075,0.0126582,Cough
CID100003075,0.02,Cough
CID100003075,0.0229885,Cough
CID100003075,0.0,Dermatitis exfoliative
CID100003075,0.0,Dermatitis exfoliative
CID100003075,0.015,Dizziness
CID100003075,0.102041,Dizziness
CID100003075,0.034,Dizziness
CID100003075,0.0701754,Dizziness
CID100003075,0.00632911,Dyspnoea
CID100003075,0.102041,Oedema
CID100003075,0.026,Oedema
CID100003075,0.05,Oedema
CID100003075,0.0603175,Oedema
CID100003075,0.00598802,Dermatitis
CID100003075,0.00598802,Rash
CID100003075,0.00952381,Rash
CID100003075,0.013,Dermatitis
CID100003075,0.015,Rash
CID100003075,0.0162602,Dermatitis
CID100003075,0.0,Dermatitis
CID100003075,0.0,Rash
CID100003075,0.0,Gout
CID100003075,0.13,Headache
CID100003075,0.17,Headache
CID100003075,0.045,Headache
CID100003075,0.0816327,Headache
CID100003075,0.0822785,Headache
CID100003075,0.05,Headache
CID100003075,0.05,Headache
CID100003075,0.012,Hyperglycaemia
CID100003075,0.00952381,Hypotension
