drug_id,disease
CID100000206,Abdominal infection
CID100000206,Abdominal infection
CID100000206,Shock insulin
CID100000206,Shock hypoglycaemic
CID100000206,Renal impairment
CID100000206,Renal impairment
CID100000206,Renal failure
CID100000214,Coarctation of the aorta
CID100000214,Coarctation of the aorta
CID100000214,Patent ductus arteriosus
CID100000214,Patent ductus arteriosus
CID100000214,Heart malformation
CID100000214,Heart disease congenital
CID100000214,Muscle relaxation
CID100000214,Hypotonia
CID100000214,Fallot's tetralogy
CID100000214,Fallot's tetralogy
CID100000214,Transposition of the great vessels
CID100000214,Transposition of the great vessels
CID100000214,Vasodilation
CID100000214,Vasodilation procedure
CID100000214,Erectile dysfunction
CID100000214,Erectile dysfunction
CID100000214,Congenital pulmonary valve atresia
CID100000214,Congenital pulmonary valve atresia
CID100000214,Congenital tricuspid valve atresia
CID100000214,Congenital tricuspid valve atresia
CID100000214,Mitral valve atresia
CID100000214,Mitral valve atresia
CID100000214,Pulmonary stenosis
CID100000214,Pulmonary valve stenosis
CID100000222,Metabolic alkalosis
CID100000222,Metabolic alkalosis
CID100000232,Acromegaly
CID100000232,Acromegaly
CID100000232,Adenoma benign
CID100000232,Adenoma benign
CID100000232,Craniopharyngioma
CID100000232,Craniopharyngioma
CID100000232,Pituitary dwarfism
CID100000232,Dwarfism
CID100000232,Gigantism
CID100000232,Gigantism
CID100000232,Trauma
CID100000232,Injury
CID100000232,Acrocyanosis
CID100000232,Cyanosis
CID100000232,Panhypopituitarism
CID100000232,Hypopituitarism
CID100000232,Insulin hypoglycemia
CID100000232,Hypoglycaemia
CID100000242,Migraine
CID100000242,Migraine
CID100000242,Aura
CID100000242,Aura
CID100000244,Pediculosis capitis
CID100000244,Lice infestation
CID100000247,Homocystinuria
CID100000247,Homocystinuria
CID100000247,Hypermethioninaemia
CID100000247,Hypermethioninaemia
CID100000271,Alkalosis
CID100000271,Alkalosis
CID100000271,Capillary permeability
CID100000271,Capillary permeability
CID100000271,Dermatitis herpetiformis
CID100000271,Dermatitis herpetiformis
CID100000271,Hyperkalaemia
CID100000271,Hyperkalaemia
CID100000271,Hypocalcaemia
CID100000271,Hypocalcaemia
CID100000271,Hypoparathyroidism
CID100000271,Hypoparathyroidism
CID100000271,Renal failure chronic
CID100000271,Renal failure chronic
CID100000271,Cramp muscle
CID100000271,Muscle spasms
CID100000271,Osteomalacia
CID100000271,Osteomalacia
CID100000271,Pruritus
CID100000271,Pruritus
CID100000271,Rickets
CID100000271,Rickets
CID100000271,Skin disorder
CID100000271,Skin disorder
CID100000271,Tetany
CID100000271,Tetany
CID100000271,Vitamin D deficiency
CID100000271,Vitamin D deficiency
CID100000271,Hyperphosphataemia
CID100000271,Hyperphosphataemia
CID100000271,Hypocalcemic tetany
CID100000271,Tetany
CID100000271,Abdominal colic
CID100000271,Abdominal pain
CID100000271,Spider bite
CID100000271,Arthropod bite
CID100000271,Purpura non-thrombocytopenic
CID100000271,Purpura non-thrombocytopenic
CID100000271,Neonatal tetany
CID100000271,Neonatal tetany
CID100000271,Eruption
CID100000271,Rash
CID100000271,Calcium deficiency
CID100000271,Calcium deficiency
CID100000271,Intoxication
CID100000271,Poisoning
CID100000271,Allergic conditions
CID100000271,Cardiotoxicity
CID100000271,Cardiotoxicity
CID100000274,Cardiac failure congestive
CID100000274,Cardiac failure congestive
CID100000297,Vomiting
CID100000297,Vomiting
CID100000298,Bacteraemia
CID100000298,Bacteraemia
CID100000298,Infection
CID100000298,Infection
CID100000298,Conjunctivitis bacterial
CID100000298,Conjunctivitis bacterial
CID100000298,Conjunctivitis infective
CID100000298,Cystic fibrosis
CID100000298,Cystic fibrosis
CID100000298,Eye infection
CID100000298,Eye infection
CID100000298,Meningitis
CID100000298,Meningitis
CID100000298,Psittacosis
CID100000298,Psittacosis
CID100000298,Pneumonia chlamydial
CID100000298,Otitis externa
CID100000298,Otitis externa
CID100000298,Typhoid fever
CID100000298,Typhoid fever
CID100000298,Chronic suppurative otitis media
CID100000298,Otitis media chronic
CID100000311,Acidosis
CID100000311,Acidosis
CID100000311,Renal tubular acidosis
CID100000311,Renal tubular acidosis
CID100000311,Road traffic accident
CID100000311,Alkalosis
CID100000311,Alkalosis
CID100000311,Gout
CID100000311,Gout
CID100000311,Nephropathy
CID100000311,Nephropathy
CID100000311,Agitation
CID100000311,Agitation
CID100000311,Metabolic acidosis
CID100000311,Metabolic acidosis
CID100000311,Nephrolithiasis
CID100000311,Nephrolithiasis
CID100000311,Chronic renal insufficiency
CID100000311,Renal impairment
CID100000311,Renal failure chronic
CID100000311,pH urine decreased
CID100000311,pH urine decreased
CID100000312,Arrhythmia
CID100000312,Arrhythmia
CID100000312,Ascites
CID100000312,Ascites
CID100000312,Haemorrhage
CID100000312,Haemorrhage
CID100000312,Haemoglobin
CID100000312,Hypokalaemia
CID100000312,Hypokalaemia
CID100000312,Nephropathy
CID100000312,Nephropathy
CID100000312,Hepatic cirrhosis
CID100000312,Hepatic cirrhosis
CID100000312,Familial periodic paralysis
CID100000312,Familial periodic paralysis
CID100000312,Paralysis
CID100000312,Gastric ulcer
CID100000312,Gastric ulcer
CID100000312,Essential hypertension
CID100000312,Essential hypertension
CID100000312,Metabolic alkalosis
CID100000312,Metabolic alkalosis
CID100000312,Intoxication
CID100000312,Poisoning
CID100000338,Arthritis
CID100000338,Arthritis
CID100000338,Rheumatoid arthritis
CID100000338,Rheumatoid arthritis
CID100000338,Arthritis
CID100000338,Corns
CID100000338,Hyperkeratosis
CID100000338,Dermatitis
CID100000338,Dermatitis
CID100000338,Ichthyosis
CID100000338,Ichthyosis acquired
CID100000338,Ichthyosis
CID100000338,Inflammation
CID100000338,Inflammation
CID100000338,Insect bite NOS
CID100000338,Arthropod bite
CID100000338,Fungal infection
CID100000338,Fungal infection
CID100000338,Osteoarthritis
CID100000338,Osteoarthritis
CID100000338,Pain
CID100000338,Pain
CID100000338,Pityriasis rubra pilaris
CID100000338,Pityriasis rubra pilaris
CID100000338,Psoriasis
CID100000338,Psoriasis
CID100000338,Pyoderma
CID100000338,Pyoderma
CID100000338,Dermatitis infected
CID100000338,Rheumatism
CID100000338,Rheumatic disorder
CID100000338,Skin disorder
CID100000338,Skin disorder
CID100000338,Plantar warts
CID100000338,Skin papilloma
CID100000338,Common wart
CID100000338,Skin papilloma
CID100000338,Skin thickening
CID100000338,Skin hypertrophy
CID100000338,Keratosis pilaris
CID100000338,Keratosis pilaris
CID100000338,Skin callus
CID100000338,Hyperkeratosis
CID100000338,Bedridden
CID100000338,Bedridden
CID100000338,Keratosis palmaris
CID100000338,Palmoplantar keratoderma
CID100000338,Juvenile idiopathic arthritis
CID100000338,Juvenile idiopathic arthritis
CID100000338,Warts
CID100000338,Skin papilloma
CID100000401,Infection
CID100000401,Infection
CID100000401,Nephropathy
CID100000401,Nephropathy
CID100000401,Liver disorder
CID100000401,Hepatocellular injury
CID100000401,Liver disorder
CID100000401,Foetor hepaticus
CID100000401,Urinary tract infection
CID100000401,Urinary tract infection
CID100000401,Extrapulmonary tuberculosis
CID100000401,Extrapulmonary tuberculosis
CID100000444,Mental disorder
CID100000444,Mental disorder
CID100000444,Depressive disorder
CID100000444,Depression
CID100000444,Dysthymic disorder
CID100000444,Fatigue
CID100000444,Fatigue
CID100000444,Asthenia
CID100000444,Feeling guilty
CID100000444,Feeling guilty
CID100000444,Chronic obstructive pulmonary disease
CID100000444,Chronic obstructive pulmonary disease
CID100000444,Bronchial hyperreactivity
CID100000444,"Major depressive disorder, single episode"
CID100000444,Major depression
CID100000444,Nicotine dependence
CID100000444,Nicotine dependence
CID100000444,Convulsion
CID100000444,Convulsion
CID100000444,Suicide attempt
CID100000444,Suicide attempt
CID100000444,Seasonal affective disorder
CID100000444,Seasonal affective disorder
CID100000444,Agitation
CID100000444,Agitation
CID100000444,Fatigability
CID100000444,Fatigue
CID100000444,Dysphoria
CID100000444,Dysphoria
CID100000444,Bradypsychic response
CID100000444,Bradyphrenia
CID100000444,Convulsions generalised
CID100000444,Convulsion
CID100000444,Cerebration impaired
CID100000444,Disturbance in attention
CID100000444,Mental disability
CID100000444,Depressed mood
CID100000444,Depressed mood
CID100000444,Suicidal ideation
CID100000444,Suicidal ideation
CID100000444,Decreased interest
CID100000444,Decreased interest
CID100000444,Sexual dysfunction
CID100000444,Sexual dysfunction
CID100000444,Hypersomnia
CID100000444,Hypersomnia
CID100000444,Insomnia
CID100000444,Insomnia
CID100000444,Major depression
CID100000444,Major depression
CID100000450,Clotting
CID100000450,Coagulopathy
CID100000450,Breast cancer
CID100000450,Breast cancer
CID100000450,Breast feeding
CID100000450,Breast feeding
CID100000450,Neoplasm malignant
CID100000450,Neoplasm malignant
CID100000450,Carcinoma
CID100000450,Neoplasm malignant
CID100000450,Coronary heart disease
CID100000450,Coronary artery disease
CID100000450,Cushing's syndrome
CID100000450,Cushing's syndrome
CID100000450,Type 1 diabetes mellitus
CID100000450,Type 1 diabetes mellitus
CID100000450,Dysuria
CID100000450,Dysuria
CID100000450,Endometrial hyperplasia
CID100000450,Endometrial hyperplasia
CID100000450,Endometriosis
CID100000450,Endometriosis
CID100000450,Fracture
CID100000450,Multiple fractures
CID100000450,Fracture
CID100000450,Headache
CID100000450,Headache
CID100000450,Haemorrhage
CID100000450,Haemorrhage
CID100000450,Haemoglobin
CID100000450,Hyperparathyroidism
CID100000450,Hyperparathyroidism
CID100000450,Hyperprolactinaemia
CID100000450,Hyperprolactinaemia
CID100000450,Hypersensitivity
CID100000450,Hypersensitivity
CID100000450,Hypogonadism
CID100000450,Hypogonadism
CID100000450,Inflammation
CID100000450,Inflammation
CID100000450,Liver disorder
CID100000450,Hepatocellular injury
CID100000450,Liver disorder
CID100000450,Foetor hepaticus
CID100000450,Menopause
CID100000450,Menopause
CID100000450,Premature menopause
CID100000450,Premature menopause
CID100000450,Myocardial infarction
CID100000450,Myocardial infarction
CID100000450,Acute coronary syndrome
CID100000450,Osteopenia
CID100000450,Osteopenia
CID100000450,Osteoporosis
CID100000450,Osteoporosis
CID100000450,Osteoporosis postmenopausal
CID100000450,Osteoporosis postmenopausal
CID100000450,Phlebitis
CID100000450,Phlebitis
CID100000450,Porphyrin metabolism disorder
CID100000450,Porphyrin metabolism disorder
CID100000450,Pruritus
CID100000450,Pruritus
CID100000450,Pruritus vulvae
CID100000450,Vulvovaginal pruritus
CID100000450,Pulmonary embolism
CID100000450,Pulmonary embolism
CID100000450,Sleep disturbance
CID100000450,Sleep disorder
CID100000450,Cerebrovascular accident
CID100000450,Cerebrovascular accident
CID100000450,Sweating
CID100000450,Hyperhidrosis
CID100000450,Thrombophlebitis
CID100000450,Thrombophlebitis
CID100000450,Thyrotoxicosis
CID100000450,Hyperthyroidism
CID100000450,Varicose vein
CID100000450,Varicose vein
CID100000450,Angiopathy
CID100000450,Angiopathy
CID100000450,Micturition urgency
CID100000450,Pollakiuria
CID100000450,Micturition urgency
CID100000450,Alcohol abuse
CID100000450,Alcohol abuse
CID100000450,Deep vein thrombosis
CID100000450,Deep vein thrombosis
CID100000450,Migraine
CID100000450,Migraine
CID100000450,Skin irritation
CID100000450,Skin irritation
CID100000450,Postmenopause
CID100000450,Postmenopause
CID100000450,Vaginitis atrophic
CID100000450,Atrophic vulvovaginitis
CID100000450,Menopausal symptoms
CID100000450,Menopausal symptoms
CID100000450,Hypogonadism female
CID100000450,Hypogonadism female
CID100000450,Primary ovarian failure
CID100000450,Ovarian failure
CID100000450,Atrophy
CID100000450,Atrophy
CID100000450,Warmth
CID100000450,Feeling hot
CID100000450,Micturition burning
CID100000450,Dysuria
CID100000450,Osteoporotic fracture
CID100000450,Osteoporotic fracture
CID100000450,Prostate carcinoma
CID100000450,Prostate cancer
CID100000450,Hot flush
CID100000450,Menopausal symptoms
CID100000450,Hot flush
CID100000450,Surgical menopause
CID100000450,Artificial menopause
CID100000450,Postmenopausal syndrome
CID100000450,Menopausal symptoms
CID100000450,Oestrogen deficiency
CID100000450,Oestrogen deficiency
CID100000450,Natural menopause
CID100000450,Menopause
CID100000450,Bone mass decreased
CID100000450,Bone density decreased
CID100000450,Dyspareunia
CID100000450,Dyspareunia
CID100000450,Metastatic disease
CID100000450,Metastatic neoplasm
CID100000450,Vaginal haemorrhage
CID100000450,Vaginal haemorrhage
CID100000450,Unspecified visual loss
CID100000450,Blindness
CID100000453,Asthma
CID100000453,Asthma
CID100000453,Edema cerebral
CID100000453,Brain oedema
CID100000453,Cystic fibrosis
CID100000453,Cystic fibrosis
CID100000453,Diuresis
CID100000453,Polyuria
CID100000453,Fructose intolerance
CID100000453,Fructose intolerance
CID100000453,Renal failure acute
CID100000453,Renal failure acute
CID100000453,Bronchial hyperreactivity
CID100000453,Bronchial hyperreactivity
CID100000453,Intraocular pressure increased
CID100000453,Intraocular pressure increased
CID100000453,Brain mass
CID100000453,Brain mass
CID100000453,Irreversible renal failure
CID100000453,Renal failure chronic
CID100000564,Premature separation of placenta
CID100000564,Premature separation of placenta
CID100000564,Aplastic anaemia
CID100000564,Aplastic anaemia
CID100000564,Anoxia
CID100000564,Anoxia
CID100000564,Blood disorder
CID100000564,Blood disorder
CID100000564,Haematuria
CID100000564,Haematuria
CID100000564,Haemorrhage
CID100000564,Haemorrhage
CID100000564,Haemoglobin
CID100000564,Hepatic cirrhosis
CID100000564,Hepatic cirrhosis
CID100000564,Shock
CID100000564,Shock
CID100000564,Thrombocytopenia
CID100000564,Thrombocytopenia
CID100000564,Trauma
CID100000564,Injury
CID100000564,Urogenital disorder
CID100000564,Urogenital disorder
CID100000564,Prostate carcinoma
CID100000564,Prostate cancer
CID100000564,Haemophilia
CID100000564,Haemophilia
CID100000581,Atelectasis
CID100000581,Pneumothorax
